日付,開催,場所,Ｒ,レース名,クラス名,重量種別,年齢限定,限定,芝・ダ,距離,コース区分,馬場状態,天気,頭数,着順,走破タイム,人気,馬名,馬体重,馬体重増減,斤量,性別,年齢,騎手,多頭出し,所属,調教師,単勝配当,馬連,馬単,３連複,３連単,脚質,種牡馬,母馬,母父馬,母父タイプ名
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,１,1352,2,レジーナドーロ,452,+10, 53 ,牝,3,Ｍ．デム,,(美),堀宣行,430,6640,10700,5500,41840,後方,キングカメハメハ,レジネッタ,フレンチデピュティ,ニアークティック系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,２,1352,8,サンクロワ,470,0, 55 ,牡,5,内田博幸,,(美),斎藤誠,(26.0),6640,10700,5500,41840,先行,ハービンジャー,サンヴィクトワール,サンデーサイレンス,ロイヤルチャージャー系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,３,1352,1,オメガラヴィサン,480,-2, 55 ,牡,3,ルメール,,(栗),安田翔伍,(2.6),,,5500,41840,中団,ロードカナロア,オメガグレイス,サンデーサイレンス,ロイヤルチャージャー系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,４,1353,3,アイスフィヨルド,442,-4, 55 ,牡,3,Ｃ．デム,,(美),武藤善則,(4.6),,,,,先行,クリストワイニング,ラトーヌインパクト,ディープインパクト,ロイヤルチャージャー系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,５,1355,9,トータルソッカー,504,-6, 55 ,牡,4,柴田善臣,,(美),伊藤正徳,(27.2),,,,,後方,ダンスインザダーク,ウェンブリー,サツカーボーイ,その他のエクリプス系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,６,1355,4,アドマイヤシナイ,478,+6, 55 ,牡,4,田辺裕信,,(美),上原博之,(10.5),,,,,中団,ローエングリン,プリンセスドルチェ,アドマイヤベガ,ロイヤルチャージャー系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,７,1356,10,ナイトバナレット,476,-10, 56 ,牡,4,三浦皇成,,(栗),矢作芳人,(38.0),,,,,後方,ディープブリランテ,ナイキフェイバー,"Favorite Trick",ニアークティック系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,８,1356,12,トーセンリラ,454,0, 52 ,牝,3,田中勝春,,(美),宗像義忠,(57.7),,,,,先行,トーセンブライト,トーセンデイジー,サンデーサイレンス,ロイヤルチャージャー系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,９,1356,7,スカルバン,502,+2, 55 ,牡,4,福永祐一,,(美),武井亮,(25.0),,,,,逃げ,タイキシャトル,オージーカンパニー,Catrail,ニアークティック系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,10,1356,5,アルトリウス,470,+22, 55 ,セ,4,マーフィ,,(美),藤沢和雄,(17.4),,,,,後方,キングカメハメハ,レジネッタ,フレンチデピュティ,ニアークティック系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,11,1357,6,ホウオウパフューム,478,-8, 55 ,牝,4,戸崎圭太,,(美),奥村武,(19.3),,,,,中団,ハーツクライ,マチカネタマカズラ,Kingmambo,ネイティヴダンサー系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,12,1357,11,プレトリア,456,+10, 55 ,セ,3,大野拓弥,,(美),中川公成,(38.0),,,,,中団,ヨハネスブルグ,ダイワエタニティー,ジャングルポケット,ナスルーラ系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,13,1357,14,イサチルルンルン,446,0, 51 ,牝,3,藤田菜七,,(美),竹内正洋,(96.9),,,,,後方,パイロ,テンセイフジ,ハウスバスター,ナスルーラ系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,14,1357,15,ユメノマイホーム,464,-4, 51 ,牝,6,杉原誠人,,(美),伊藤伸一,(170.4),,,,,中団,ストーミングホーム,ニシノユメヲミセテ,ブライアンズタイム,ロイヤルチャージャー系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,15,1363,16,ビオラフォーエバー,468,0, 52 ,セ,7,野中悠太,,(美),柴田政人,(271.6),,,,,先行,スペシャルウィーク,ミッドキャップ,Entrepreneur,ニアークティック系
181228,5中9,中山,12,ベストＨ1000,1000万,ハンデ,３上,混,芝,1600,A,良, 晴 ,16,16,1365,13,エクラミレネール,468,+6, 53 ,牝,5,北村宏司,,(美),高橋裕,(60.4),,,,,先行,マツリダゴッホ,シャトーサウザンド,プラウドデボネア,ニアークティック系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,１,2016,1,サートゥルナーリア,500,+12, 55 ,牡,2,Ｍ．デム,*,(栗),中竹和也,180,640,840,1130,3650,先行,ロードカナロア,シーザリオ,スペシャルウィーク,ロイヤルチャージャー系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,２,2018,2,アドマイヤジャスタ,504,+4, 55 ,牡,2,ルメール,,(栗),須貝尚介,(6.2),640,840,1130,3650,先行,ジャスタウェイ,アドマイヤテレサ,エリシオ,ニアークティック系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,３,2019,3,ニシノデイジー,490,+4, 55 ,牡,2,勝浦正樹,,(美),高木登,(6.6),,,1130,3650,後方,ハービンジャー,ニシノヒナギク,アグネスタキオン,ロイヤルチャージャー系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,４,2022,8,コスモカレンドゥラ,444,+2, 55 ,牡,2,戸崎圭太,,(美),田中博康,(41.6),,,,,逃げ,ノヴェリスト,ミルルーテウス,アグネスタキオン,ロイヤルチャージャー系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,５,2022,4,ブレイキングドーン,494,+6, 55 ,牡,2,福永祐一,*,(栗),中竹和也,(9.9),,,,,先行,ヴィクトワールピサ,アグネスサクラ,ホワイトマズル,ニアークティック系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,６,2022,5,ヴァンドギャルド,466,+6, 55 ,牡,2,Ｃ．デム,,(栗),藤原英昭,(10.4),,,,,中団,ディープインパクト,スキア,Motivator,ニアークティック系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,７,2023,9,ヒルノダカール,520,+8, 55 ,牡,2,松田大作,,(栗),北出成人,(68.7),,,,,先行,ヴィクトワールピサ,タイムフェアレディ,メジロマックイーン,トゥルビヨン系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,８,2023,6,キングリスティア,506,+4, 55 ,牡,2,内田博幸,,(栗),河内洋,(24.4),,,,,後方,ベルシャザール,リスティアアスリー,スピニングワールド,ニアークティック系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,９,2027,7,ミッキーブラック,476,+4, 55 ,牡,2,マーフィ,,(栗),音無秀孝,(35.8),,,,,中団,ブラックタイド,マラコスタムブラダ,"Lizard Island",
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,10,2029,13,マードレヴォイス,460,0, 55 ,牡,2,三浦皇成,,(美),田村康仁,(436.3),,,,,後方,ダイワメジャー,ソウルフルヴォイス,キングカメハメハ,ネイティヴダンサー系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,11,2031,10,ジャストアジゴロ,450,+4, 55 ,牡,2,田辺裕信,,(美),大和田成,(70.3),,,,,先行,ノヴェリスト,ピューマカフェ,サンデーサイレンス,ロイヤルチャージャー系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,12,2035,12,ハクサンタイヨウ,476,+2, 55 ,牡,2,松岡正海,,(美),浅野洋一,(430.9),,,,,後方,ブラックタイド,クルンプホルツ,シンボリクリスエス,ロイヤルチャージャー系
181228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,13,2059,11,タニノドラマ,428,+4, 55 ,牡,2,池添謙一,,(栗),松田国英,(171.0),,,,,後方,タニノギムレット,ブライダルベール,キングカメハメハ,ネイティヴダンサー系
181228,5中9,中山,10,立志Ｓ1600,1600万,定量,３上,混,ダ,1800,,良, 晴 ,16,１,1532,4,アンデスクイーン,494,-6, 55 ,牝,4,ルメール,,(栗),西園正都,740,9070,15940,17130,105280,中団,タートルボウル,レイナカスターニャ,キングカメハメハ,ネイティヴダンサー系
181228,5中9,中山,10,立志Ｓ1600,1600万,定量,３上,混,ダ,1800,,良, 晴 ,16,２,1534,7,エオリア,480,-4, 55 ,牝,4,津村明秀,,(栗),角田晃一,(23.0),9070,15940,17130,105280,中団,ストリートセンス,スタリア,アルカセット,ネイティヴダンサー系
181228,5中9,中山,10,立志Ｓ1600,1600万,定量,３上,混,ダ,1800,,良, 晴 ,16,３,1535,3,デザートスネーク,490,+10, 57 ,セ,4,黛弘人,,(美),武井亮,(7.2),,,17130,105280,中団,ブラックタイド,ジョイアサーティン,フォーティナイナー,ネイティヴダンサー系
181228,5中9,中山,10,立志Ｓ1600,1600万,定量,３上,混,ダ,1800,,良, 晴 ,16,４,1536,15,マイネルビクトリー,500,+6, 57 ,牡,5,柴田大知,,(美),畠山吉宏,(153.3),,,,,後方,ブライアンズタイム,メジャービクトリー,ヘクタープロテクター,ネイティヴダンサー系
181228,5中9,中山,10,立志Ｓ1600,1600万,定量,３上,混,ダ,1800,,良, 晴 ,16,５,1536,1,タイキフェルヴール,516,+20, 56 ,牡,3,池添謙一,,(栗),牧浦充徳,(2.9),,,,,先行,フリオーソ,アッシュベリー,"Any Given Saturday",ネイティヴダンサー系
181228,5中9,中山,10,立志Ｓ1600,1600万,定量,３上,混,ダ,1800,,良, 晴 ,16,６,1539,12,クリノライメイ,504,-4, 57 ,牡,4,柴田善臣,,(栗),荒川義之,(72.5),,,,,後方,シンボリクリスエス,クリノスペシャル,スペシャルウィーク,ロイヤルチャージャー系
181228,5中9,中山,10,立志Ｓ1600,1600万,定量,３上,混,ダ,1800,,良, 晴 ,16,７,1539,10,ローレルリーベ,506,-2, 57 ,牡,4,嘉藤貴行,*,(美),奥平雅士,(44.9),,,,,中団,カネヒキリ,ケイアイメルヘン,エンドスウィープ,ネイティヴダンサー系
