日付,開催,場所,Ｒ,レース名,クラス名,重量種別,年齢限定,限定,芝・ダ,距離,コース区分,馬場状態,天気,頭数,着順,走破タイム,人気,馬名,馬体重,馬体重増減,斤量,性別,年齢,騎手,多頭出し,所属,調教師,単勝配当,馬連,馬単,３連複,３連単,脚質,種牡馬,母馬,母父馬,母父タイプ名
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,１,1360,2,ミエノウインウイン,476,-6, 57 ,セ,4,ルメール,,(栗),高橋亮,430,22400,30570,138050,647340,先行,ハービンジャー,クイーンアイリス,ダンスインザダーク,ロイヤルチャージャー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,２,1360,14,スーパーブレイク,476,+6, 57 ,牡,5,吉田豊,,(美),戸田博文,(83.1),22400,30570,138050,647340,中団,ブレイクランアウト,ウェディングフジコ,フジキセキ,ロイヤルチャージャー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,３,1361,7,アイリスフィール,434,+4, 54 ,牝,3,石川裕紀,,(美),相沢郁,(25.0),,,138050,647340,ﾏｸﾘ,ハービンジャー,シルクアイリス,ディープインパクト,ロイヤルチャージャー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,４,1361,12,アルトリウス,464,+8, 57 ,セ,5,北村宏司,,(美),高橋文雅,(52.4),,,,,後方,キングカメハメハ,レジネッタ,フレンチデピュティ,ニアークティック系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,５,1362,13,ナイトバナレット,488,+4, 57 ,牡,5,坂井瑠星,,(栗),矢作芳人,(52.5),,,,,後方,ディープブリランテ,ナイキフェイバー,"Favorite Trick",ニアークティック系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,６,1362,5,ソーラーフレア,460,+8, 57 ,牡,4,三浦皇成,,(美),高柳瑞樹,(11.9),,,,,中団,Shamardal,コズミックフレイム,Doyen,ニアークティック系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,７,1363,1,セリユーズ,510,+8, 54 ,牝,3,マーフィ,,(美),国枝栄,(2.3),,,,,中団,ディープインパクト,ミュージカルロマンス,"Concorde's Tune",ナスルーラ系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,８,1363,4,テンワールドレイナ,476,0, 55 ,牝,4,Ｍ．デム,,(美),矢野英一,(8.4),,,,,後方,ローエングリン,レイナクーバ,アグネスタキオン,ロイヤルチャージャー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,９,1363,9,ココフィーユ,436,+8, 54 ,牝,3,内田博幸,,(美),斎藤誠,(33.1),,,,,逃げ,ロードカナロア,ブルーミングスノー,サンデーサイレンス,ロイヤルチャージャー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,10,1363,8,プレトリア,466,+6, 57 ,セ,4,岩田康誠,,(美),中川公成,(26.4),,,,,後方,ヨハネスブルグ,ダイワエタニティー,ジャングルポケット,ナスルーラ系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,11,1363,11,イダエンペラー,510,+24, 57 ,牡,4,岩田望来,,(栗),藤原英昭,(49.0),,,,,後方,ルーラーシップ,アドマイヤセラヴィ,サンデーサイレンス,ロイヤルチャージャー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,12,1365,3,ノーブルカリナン,462,0, 55 ,牝,4,福永祐一,,(栗),友道康夫,(7.8),,,,,後方,ディープインパクト,ノーブルジュエリー,"Smarty Jones",ネイティヴダンサー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,13,1365,6,コスモヨハネ,496,+2, 57 ,牡,7,柴田大知,,(美),高橋裕,(18.5),,,,,先行,ヨハネスブルグ,エンプレスロッチ,カコイーシーズ,ネイティヴダンサー系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,14,1366,10,ディロス,516,0, 57 ,セ,4,津村明秀,,(美),木村哲也,(40.3),,,,,ﾏｸﾘ,ステイゴールド,ラトーナ,Dansili,ニアークティック系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,15,1367,15,ボールドジャパン,522,+2, 57 ,牡,8,江田照男,,(美),蛯名利弘,(233.5),,,,,中団,アドマイヤジャパン,ラブミラー,ミラクルアドマイヤ,ナスルーラ系
191228,5中9,中山,12,ベストウ･2勝,2勝,定量,３上,混,芝,1600,A,良, 晴 ,16,16,1370,16,エミーリオ,498,+2, 57 ,牡,5,丸田恭介,,(美),田中剛,(284.2),,,,,先行,アドマイヤムーン,プライムオブユース,"Deputy Minister",ニアークティック系
191228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,１,2014,1,コントレイル,462,+6, 55 ,牡,2,福永祐一,*,(栗),矢作芳人,200,810,1170,580,2760,先行,ディープインパクト,ロードクロサイト,"Unbridled's Song",ネイティヴダンサー系
191228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,２,2016,3,ヴェルトライゼンデ,492,+2, 55 ,牡,2,マーフィ,,(栗),池江泰寿,(6.9),810,1170,580,2760,先行,ドリームジャーニー,マンデラ,Acatenango,その他のエクリプス系
191228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,３,2019,2,ワーケア,492,+6, 55 ,牡,2,ルメール,,(美),手塚貴久,(3.7),,,580,2760,中団,ハーツクライ,チェリーコレクト,Oratorio,ニアークティック系
191228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,13,４,2022,6,ラインベック,470,+10, 55 ,牡,2,岩田康誠,,(栗),友道康夫,(37.2),,,,,先行,ディープインパクト,アパパネ,キングカメハメハ,ネイティヴダンサー系
