日付,開催,場所,Ｒ,レース名,クラス名,重量種別,年齢限定,限定,芝・ダ,距離,コース区分,馬場状態,天気,頭数,着順,走破タイム,人気,馬名,馬体重,馬体重増減,斤量,性別,年齢,騎手,多頭出し,所属,調教師,単勝配当,馬連,馬単,３連複,３連単,脚質,種牡馬,母馬,母父馬,母父タイプ名
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,１,1090,2,アドマイヤゴッド,492,-4, 56 ,牡,3,Ｍ．デム,,(栗),須貝尚介,540,730,1710,1740,8750,後方,ハーツクライ,クレヴァリー,Danzig,ニアークティック系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,２,1090,1,アルティマブラッド,466,-12, 54 ,牝,3,ルメール,,(栗),音無秀孝,(2.8),730,1710,1740,8750,先行,シンボリクリスエス,アルティマトゥーレ,フジキセキ,ロイヤルチャージャー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,３,1092,3,タケデンタイガー,478,+6, 56 ,牡,3,岩田康誠,,(美),武市康男,(6.2),,,1740,8750,中団,フレンチデピュティ,タケデンプラザ,サクラバクシンオー,ナスルーラ系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,４,1093,4,アスペンサミット,484,-4, 55 ,牝,5,石川裕紀,,(美),高橋文雅,(6.6),,,,,後方,"Fastnet Rock","Aspen Falls",Hennessy,ニアークティック系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,５,1093,9,クリノスイートピー,440,-6, 54 ,牝,3,西田雄一,,(美),星野忍,(33.9),,,,,先行,アドマイヤコジーン,テンザンジョイ,マイネルラヴ,ネイティヴダンサー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,６,1094,6,ヤマニンマルキーザ,464,+4, 57 ,牡,4,柴田大知,,(美),栗田徹,(12.2),,,,,先行,アドマイヤムーン,ヤマニンメルベイユ,メジロマックイーン,トゥルビヨン系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,７,1094,5,スマートエビデンス,530,+6, 57 ,牡,4,三浦皇成,,(栗),浅見秀一,(11.4),,,,,逃げ,サクラバクシンオー,マルハチリプリー,バブルガムフェロー,ロイヤルチャージャー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,８,1096,7,アースプレイ,442,-4, 55 ,牝,4,田中勝春,,(美),宗像義忠,(16.2),,,,,後方,ゼンノロブロイ,ミスイースター,ウォーニング,マンノウォー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,９,1096,12,ダイワベスパー,454,-2, 55 ,牝,6,村田一誠,,(美),鹿戸雄一,(54.5),,,,,中団,ダイワメジャー,ダイワリプルス,"Gone West",ネイティヴダンサー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,10,1096,8,タカラジェニファ,476,-2, 55 ,牝,4,大野拓弥,,(美),伊藤正徳,(25.5),,,,,中団,ヨハネスブルグ,ホワイトピクシイ,ホワイトマズル,ニアークティック系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,11,1097,13,スーパーアース,470,-4, 55 ,牝,5,江田照男,,(美),菊川正達,(65.9),,,,,後方,スパイキュール,ジュンプリンセス,タイキシャトル,ロイヤルチャージャー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,12,1099,10,スプリングサヴァン,440,-2, 55 ,牝,4,伊藤工真,,(美),上原博之,(40.1),,,,,後方,プリサイスエンド,スプリングレディー,イシノサンデー,ロイヤルチャージャー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,13,1103,15,ビットスターダム,464,0, 57 ,牡,7,菱田裕二,,(栗),大根田裕,(119.5),,,,,後方,オンファイア,カネツプリンセス,サクラバクシンオー,ナスルーラ系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,14,1103,16,ラインロバート,472,+4, 57 ,牡,6,嶋田純次,,(美),水野貴広,(137.5),,,,,中団,キングヘイロー,ディマクコンダ,バチアー,ニアークティック系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,15,1111,14,スリーアルテミス,476,-8, 55 ,牝,7,丸山元気,,(栗),高橋康之,(95.1),,,,,中団,ゼンノロブロイ,スリーアモーラ,Twining,ネイティヴダンサー系
151227,5中8,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 曇 ,16,16,1114,11,ジーニマジック,474,-6, 55 ,牝,5,柴山雄一,,(美),小笠倫弘,(51.1),,,,,先行,ダイワメジャー,ベッラベリッシモ,Alzao,ニアークティック系
151227,5中8,中山,10,有馬記念G1,Ｇ１,定量,３上,国,芝,2500,A,良, 曇 ,16,１,2330,8,ゴールドアクター,494,+4, 57 ,牡,4,吉田隼人,,(美),中川公成,1700,6840,13780,20360,125870,先行,スクリーンヒーロー,ヘイロンシン,キョウワアリシバ,ネイティヴダンサー系
