日付,開催,場所,Ｒ,レース名,クラス名,重量種別,年齢限定,限定,芝・ダ,距離,コース区分,馬場状態,天気,頭数,着順,走破タイム,人気,馬名,馬体重,馬体重増減,斤量,性別,年齢,騎手,多頭出し,所属,調教師,単勝配当,馬連,馬単,３連複,３連単,脚質,種牡馬,母馬,母父馬,母父タイプ名
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,１,1093,4,アルティマブラッド,472,-10, 55 ,牝,4,Ｍ．デム,,(栗),音無秀孝,610,1570,3210,27790,117870,先行,シンボリクリスエス,アルティマトゥーレ,フジキセキ,ロイヤルチャージャー系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,２,1095,2,ナンヨーアミーコ,430,0, 56 ,牡,3,柴田善臣,,(美),宗像義忠,(4.3),1570,3210,27790,117870,中団,ハービンジャー,ピクシーダスト,サンデーサイレンス,ロイヤルチャージャー系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,３,1096,14,エリーティアラ,468,+2, 55 ,牝,4,岩田康誠,,(美),武市康男,(76.0),,,27790,117870,中団,ケイムホーム,ペイルローズ,フジキセキ,ロイヤルチャージャー系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,４,1096,13,ショウナンワダチ,488,+6, 57 ,牡,5,蛯名正義,,(美),大竹正博,(74.6),,,,,後方,ショウナンカンプ,ショウナンマライア,クロフネ,ニアークティック系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,５,1097,5,カトルラポール,470,0, 54 ,牝,3,北村宏司,,(美),浅野洋一,(17.6),,,,,中団,グラスワンダー,スポーティングラダー,Danzig,ニアークティック系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,６,1099,1,シルヴァーコード,486,+6, 55 ,牝,4,戸崎圭太,,(美),木村哲也,(2.9),,,,,逃げ,スウェプトオーヴァーボード,クラックコード,ダンスインザダーク,ロイヤルチャージャー系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,７,1099,11,ラインミーティア,480,-2, 57 ,牡,6,横山和生,,(美),水野貴広,(52.3),,,,,後方,メイショウボーラー,アラマサフェアリー,オース,ニアークティック系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,８,1099,3,サフィロス,480,-2, 57 ,牡,4,ルメール,,(美),手塚貴久,(5.9),,,,,中団,キンシャサノキセキ,ダークサファイア,"Out of Place",ロイヤルチャージャー系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,９,1099,7,イーグルアモン,462,+4, 55 ,牝,5,田辺裕信,,(美),谷原義明,(18.9),,,,,後方,イーグルカフェ,ミスアモン,メジロライアン,ニアークティック系
161225,5中9,中山,11,ハッピー1000,1000万,定量,３上,混,芝,1200,A,良, 晴 ,16,10,1099,10,イキオイ,460,+8, 57 ,牡,4,横山典弘,,(美),杉浦宏昭,(38.6),,,,,後方,マツリダゴッホ,ユメノラッキー,"Salt Lake",ニアークティック系
